dateTime UTC,TDRY,HPRAB,PRSS,RLH,WDD10,WNS10,WDD10Virzieni,tempC,precipMM,pressureMB,humidity,windDirDEG,windSpeedKPH,windSpeedM/S,windDir
23.07.2023 00:00,12.70 °C,0.00 mm,994.10 hPa,96.00 %,223.00°,3.00 m/s,SW,13.30 °C,0.00 mm,996.10 hPa,100.00 %,256.50°,2.80,0.78 m/s,W
23.07.2023 01:00,12.40 °C,0.20 mm,994.20 hPa,97.00 %,214.00°,2.40 m/s,SW,13.10 °C,0.00 mm,996.10 hPa,100.00 %,297.00°,4.05,1.13 m/s,NW
23.07.2023 02:00,12.40 °C,0.00 mm,994.20 hPa,98.00 %,216.00°,4.00 m/s,SW,13.10 °C,0.00 mm,996.20 hPa,100.00 %,274.50°,5.69,1.58 m/s,W
23.07.2023 03:00,12.80 °C,0.00 mm,994.30 hPa,97.00 %,223.00°,3.30 m/s,SW,13.40 °C,0.00 mm,996.20 hPa,100.00 %,270.00°,6.77,1.88 m/s,W
23.07.2023 04:00,12.80 °C,0.00 mm,994.40 hPa,96.00 %,216.00°,3.00 m/s,SW,13.40 °C,0.00 mm,996.30 hPa,100.00 %,297.00°,5.25,1.46 m/s,NW
23.07.2023 05:00,13.10 °C,0.00 mm,994.60 hPa,92.00 %,217.00°,3.60 m/s,SW,13.80 °C,0.00 mm,996.60 hPa,97.00 %,252.00°,5.40,1.50 m/s,W
23.07.2023 06:00,14.20 °C,0.00 mm,994.70 hPa,87.00 %,236.00°,3.10 m/s,SW,15.10 °C,0.00 mm,996.50 hPa,89.00 %,261.00°,5.58,1.55 m/s,W
23.07.2023 07:00,15.30 °C,0.00 mm,994.50 hPa,81.00 %,231.00°,3.70 m/s,SW,17.70 °C,0.00 mm,996.30 hPa,71.00 %,279.00°,9.25,2.57 m/s,W
23.07.2023 08:00,16.80 °C,0.00 mm,994.60 hPa,66.00 %,246.00°,4.40 m/s,SW,18.80 °C,0.00 mm,996.40 hPa,61.00 %,279.00°,9.79,2.72 m/s,W
23.07.2023 09:00,18.20 °C,0.00 mm,994.50 hPa,57.00 %,221.00°,4.80 m/s,SW,18.10 °C,0.00 mm,996.30 hPa,58.00 %,247.50°,8.05,2.24 m/s,W
23.07.2023 10:00,17.80 °C,0.00 mm,994.50 hPa,59.00 %,227.00°,5.90 m/s,SW,18.40 °C,0.00 mm,996.30 hPa,58.00 %,270.00°,7.06,1.96 m/s,W
23.07.2023 11:00,17.50 °C,2.40 mm,994.60 hPa,63.00 %,206.00°,4.10 m/s,SW,18.10 °C,0.00 mm,996.40 hPa,59.00 %,202.50°,3.32,0.92 m/s,SW
23.07.2023 12:00,14.50 °C,3.70 mm,994.50 hPa,87.00 %,274.00°,3.90 m/s,W,15.20 °C,0.00 mm,996.40 hPa,89.00 %,216.00°,0.72,0.20 m/s,SW
23.07.2023 13:00,14.70 °C,4.20 mm,994.50 hPa,85.00 %,308.00°,2.00 m/s,NW,15.80 °C,0.28 mm,996.30 hPa,87.00 %,301.50°,4.58,1.27 m/s,NW
23.07.2023 14:00,,,,,,,,,,,,,,,
23.07.2023 15:00,,,,,,,,,,,,,,,
23.07.2023 16:00,13.90 °C,0.00 mm,993.60 hPa,94.00 %,190.00°,2.30 m/s,S,14.40 °C,0.30 mm,995.60 hPa,100.00 %,202.50°,3.18,0.88 m/s,SW
23.07.2023 17:00,14.20 °C,0.00 mm,993.40 hPa,93.00 %,190.00°,2.80 m/s,S,14.60 °C,0.00 mm,995.30 hPa,97.00 %,238.50°,1.26,0.35 m/s,SW
23.07.2023 18:00,14.00 °C,0.00 mm,993.10 hPa,94.00 %,194.00°,2.40 m/s,S,14.50 °C,0.00 mm,995.00 hPa,100.00 %,198.00°,0.40,0.11 m/s,S
23.07.2023 19:00,13.80 °C,0.00 mm,993.00 hPa,95.00 %,170.00°,1.90 m/s,S,14.20 °C,0.00 mm,994.80 hPa,100.00 %,225.00°,0.00,0.00 m/s,SW
